[2024-06-28 15:08:15] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:13:15] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:17:14] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:18:54] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:20:38] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:20:39] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 9868884f1a79a1a1da9c927a74eb550f).
[2024-06-28 15:21:33] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:21:34] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 6a67a750594a05c6924b3fc49dd4bf90).
[2024-06-28 15:22:54] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:24:28] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:26:09] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:32:38] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:33:36] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:37:00] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:38:17] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:40:58] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:42:35] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:43:26] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:44:01] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:44:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-06-28 15:44:02] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-06-28 15:44:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1254193701769449633', 'username': 'General Drac', 'avatar': '56d76fd0707ee61b4e96bbcac6d56490', 'discriminator': '0360', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2024-06-28 15:44:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-06-28 15:44:02] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-06-28 15:44:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1254193701769449633', 'name': 'General Drac', 'icon': '56d76fd0707ee61b4e96bbcac6d56490', 'description': 'Foxhole Discord bot for Brochat', 'type': None, 'bot': {'id': '1254193701769449633', 'username': 'General Drac', 'avatar': '56d76fd0707ee61b4e96bbcac6d56490', 'discriminator': '0360', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'summary': '', 'is_monetized': False, 'bot_public': False, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}, '1': {}}, 'verify_key': 'ce604b8b00966a1c3c7c4f4b78d83994188ca40001846b3724450dc7d61c87b5', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '77870070029615104', 'username': 'tuxmasku', 'avatar': '37be1d19b9afcc24c23fe3d8e51ac8cf', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': 'a_45bd1c2962249f9eb6197ce50cdfe7ff', 'accent_color': 3553599, 'global_name': 'Tux', 'avatar_decoration_data': None, 'banner_color': '#36393f', 'clan': None}, 'approximate_guild_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 196, 'monetization_state': 1, 'verification_eligibility_flags': 90396, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2}
[2024-06-28 15:45:32] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:45:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-06-28 15:45:32] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-06-28 15:45:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1254193701769449633', 'username': 'General Drac', 'avatar': '56d76fd0707ee61b4e96bbcac6d56490', 'discriminator': '0360', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2024-06-28 15:45:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-06-28 15:45:32] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-06-28 15:45:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1254193701769449633', 'name': 'General Drac', 'icon': '56d76fd0707ee61b4e96bbcac6d56490', 'description': 'Foxhole Discord bot for Brochat', 'type': None, 'bot': {'id': '1254193701769449633', 'username': 'General Drac', 'avatar': '56d76fd0707ee61b4e96bbcac6d56490', 'discriminator': '0360', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'summary': '', 'is_monetized': False, 'bot_public': False, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}, '1': {}}, 'verify_key': 'ce604b8b00966a1c3c7c4f4b78d83994188ca40001846b3724450dc7d61c87b5', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '77870070029615104', 'username': 'tuxmasku', 'avatar': '37be1d19b9afcc24c23fe3d8e51ac8cf', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': 'a_45bd1c2962249f9eb6197ce50cdfe7ff', 'accent_color': 3553599, 'global_name': 'Tux', 'avatar_decoration_data': None, 'banner_color': '#36393f', 'clan': None}, 'approximate_guild_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 196, 'monetization_state': 1, 'verification_eligibility_flags': 90396, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2}
[2024-06-28 15:48:13] [INFO    ] discord.client: logging in using static token
[2024-06-28 15:48:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-06-28 15:48:14] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-06-28 15:48:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1254193701769449633', 'username': 'General Drac', 'avatar': '56d76fd0707ee61b4e96bbcac6d56490', 'discriminator': '0360', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2024-06-28 15:48:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-06-28 15:48:14] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
